------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.11 port 39890 connected with 10.0.2.22 port 5001 (icwnd/mss/irtt=14/1448/40895)
[ ID] Interval       Transfer     Bandwidth
[  1] 38.0000-38.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 38.5000-39.0000 sec   637 KBytes  10.4 Mbits/sec
[  1] 39.0000-39.5000 sec   636 KBytes  10.4 Mbits/sec
[  1] 39.5000-40.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 40.0000-40.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 40.5000-41.0000 sec   637 KBytes  10.4 Mbits/sec
[  1] 41.0000-41.5000 sec   445 KBytes  7.29 Mbits/sec
[  1] 41.5000-42.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 42.0000-42.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 42.5000-43.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 43.0000-43.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 43.5000-44.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 44.0000-44.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 44.5000-45.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 45.0000-45.5000 sec   383 KBytes  6.27 Mbits/sec
[  1] 45.5000-46.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 46.0000-46.5000 sec   508 KBytes  8.33 Mbits/sec
[  1] 46.5000-47.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 47.0000-47.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 47.5000-48.0000 sec   637 KBytes  10.4 Mbits/sec
[  1] 48.0000-48.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 48.5000-49.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 49.0000-49.5000 sec   445 KBytes  7.29 Mbits/sec
[  1] 49.5000-50.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 50.0000-50.5000 sec   509 KBytes  8.34 Mbits/sec
[  1] 50.5000-51.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 51.0000-51.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 51.5000-52.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 52.0000-52.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 52.5000-53.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 53.0000-53.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 53.5000-54.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 54.0000-54.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 54.5000-55.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 55.0000-55.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 55.5000-56.0000 sec   383 KBytes  6.27 Mbits/sec
[  1] 56.0000-56.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 56.5000-57.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 57.0000-57.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 57.5000-58.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 58.0000-58.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 58.5000-59.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 59.0000-59.5000 sec   637 KBytes  10.4 Mbits/sec
